,Q1,Q2,Q3,Q4,Q5,Q6,Q27,Q28,Q29,Q30,Q31,Q32,Q46,Q51,Q52,Q53,Q54,Q55,Q58,Q59,Q60,Q61,Q62,Q63,Q64,Q65,Q66,Q67,Q68,Q69,Q70,Q71,Q72,Q73,Q74,Q75,Q76,Q77,Q78,Q79,Q80,Q81,Q113,Q114,Q115,Q116,Q117,Q118,Q130,Q131,Q132,Q133,Q134,Q135,Q136,Q137,Q138,Q142,Q143,Q146,Q147,Q148,Q169,Q170,Q196,Q197,Q198,Q199,Q224,Q225,Q226,Q227,Q228,Q229,Q230,Q231,Q232,Q233,Q234,Q235,Q236,Q237,Q238,Q239,Q253,Q254,Q255,Q256,Q257,Q258,Q259
pid_1524,1,1,1,1,3,4,2,4,4,4,4,2,2,3,4,2,4,4,1,1,1,2,1,1,4,2,2,3,1,3,2,2,3,3,2,1,2,3,3,1,1,1,3,3,2,2,2,1,1,2,4,3,4,3,4,4,4,4,1,1,3,2,4,4,4,4,4,1,1,4,2,3,3,2,1,3,4,3,1,4,1,4,1,4,4,2,1,1,2,1,1
pid_740,1,2,1,2,1,4,2,4,4,4,4,2,1,4,4,4,4,4,2,3,2,3,3,3,4,1,2,2,2,1,1,3,3,3,2,1,2,3,2,1,2,2,3,3,3,3,3,1,3,1,4,4,4,3,4,4,4,4,4,3,4,3,4,4,1,2,3,2,2,4,2,3,3,2,1,3,3,3,1,4,1,4,1,4,3,1,1,1,1,3,3
pid_227,1,1,1,1,1,3,1,4,4,4,4,1,1,2,2,2,3,4,1,2,1,2,1,2,3,2,2,2,1,4,3,2,3,4,2,2,2,3,3,2,1,1,3,3,3,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,3,2,4,4,4,4,4,1,3,4,2,3,2,3,1,2,3,4,1,4,1,4,1,4,3,2,1,1,2,1,1
pid_1043,1,1,1,2,1,4,1,3,4,4,4,3,1,4,4,3,4,4,1,2,1,3,2,3,4,1,4,4,4,1,2,3,3,4,3,3,3,2,2,4,2,2,3,2,2,2,3,2,4,2,4,4,4,4,4,4,4,3,2,3,2,3,4,4,1,2,2,1,3,4,4,3,4,3,2,4,4,2,1,4,3,4,1,4,2,1,1,1,1,3,2
pid_269,1,1,1,2,2,3,1,3,4,4,4,1,4,2,2,2,2,4,1,2,1,2,2,2,4,2,2,3,2,2,3,2,3,4,2,1,2,3,3,4,2,1,3,3,3,3,2,2,2,3,1,4,3,2,4,2,2,1,1,1,1,1,4,4,2,2,4,3,2,4,1,2,3,2,1,2,3,3,1,4,2,4,1,4,3,2,2,2,2,2,3
pid_1797,1,3,1,2,1,4,3,4,4,4,4,4,1,4,4,4,4,4,1,4,3,4,4,4,4,2,3,4,4,2,2,4,4,3,3,1,3,4,2,4,3,3,3,3,3,3,3,2,3,1,4,4,4,4,4,4,4,4,4,2,2,2,4,4,1,4,4,2,3,4,2,2,3,3,1,4,4,2,1,4,1,4,1,4,2,2,4,4,3,3,4
pid_1870,1,2,1,3,3,4,2,4,3,4,4,2,4,4,2,3,4,4,1,3,2,3,2,3,4,1,3,4,3,2,2,3,3,4,3,3,3,3,3,3,2,1,3,3,3,3,3,2,3,3,2,4,4,3,4,4,2,1,1,1,2,2,4,4,1,2,4,3,3,4,1,3,3,3,2,3,3,3,1,4,3,4,1,4,3,2,3,4,2,3,4
pid_943,1,1,1,1,2,4,1,4,4,4,4,1,3,4,2,4,4,4,1,2,2,2,2,2,4,2,2,3,1,3,3,2,3,3,2,1,2,3,3,1,1,1,3,3,3,2,2,3,1,3,2,3,3,2,3,3,2,1,1,1,1,1,4,4,4,4,4,1,2,3,2,3,2,2,1,2,3,3,1,4,1,4,1,4,4,2,2,2,2,2,2
pid_7,1,1,1,1,1,4,1,4,4,4,4,4,3,4,2,4,4,4,1,2,2,3,1,2,4,3,2,4,1,3,3,2,3,4,2,1,3,4,4,1,1,1,3,3,3,3,2,2,1,3,3,2,4,2,4,3,2,1,1,1,1,1,4,4,4,4,4,1,2,3,1,2,3,2,1,2,3,4,1,4,2,4,1,4,3,3,1,2,3,1,1
pid_459,1,1,1,1,1,3,2,4,4,4,4,3,4,4,2,2,4,4,1,2,2,3,2,2,3,2,2,4,1,3,2,3,4,3,2,1,2,3,3,1,1,1,3,3,3,3,2,3,1,3,4,4,4,2,4,4,3,1,1,1,1,1,4,4,4,4,4,1,2,2,2,3,3,3,1,1,4,3,1,4,1,4,1,4,3,2,2,2,1,1,1
pid_170,1,2,2,2,1,2,1,4,2,4,4,3,2,4,4,4,4,4,1,2,1,3,3,3,1,1,4,4,4,1,2,3,2,2,3,3,3,2,1,3,2,1,2,2,2,2,3,2,4,1,4,4,4,4,4,4,4,2,2,1,2,2,4,2,1,1,1,2,3,4,1,3,4,3,4,4,2,2,1,2,4,4,1,4,1,1,1,1,1,3,3
pid_1314,1,1,1,1,1,2,1,1,1,4,1,1,2,4,4,3,4,4,1,2,2,2,2,3,1,1,4,4,4,1,2,4,3,4,3,3,3,2,2,3,2,1,3,2,3,2,4,2,3,1,3,4,4,4,3,4,4,2,1,3,2,3,2,2,1,1,2,2,4,4,4,4,4,3,2,3,3,3,1,2,4,4,1,4,2,1,1,1,1,3,1
pid_1673,1,1,1,1,2,4,2,4,4,4,4,1,1,4,4,4,4,4,1,2,1,2,2,2,4,2,2,3,1,3,2,2,3,3,2,1,2,3,2,1,1,1,3,3,2,2,2,2,2,1,4,4,4,3,4,4,4,2,4,2,3,2,4,4,4,4,4,1,2,4,3,4,2,2,2,3,3,3,1,4,1,4,1,4,3,2,1,1,2,3,1
pid_417,1,1,1,1,1,4,2,4,4,4,4,1,1,4,4,4,3,4,1,1,1,2,1,2,4,2,2,3,1,3,2,2,3,3,2,1,2,4,2,1,1,1,3,3,3,3,2,2,1,1,4,3,4,2,4,4,4,2,4,2,4,2,4,4,4,4,4,1,1,4,2,3,2,2,1,3,3,3,1,4,1,4,1,4,3,2,1,2,2,2,1
pid_1994,1,1,1,2,1,4,1,4,4,4,4,3,1,4,4,4,4,4,1,3,3,4,2,3,4,1,2,4,2,3,2,2,2,4,2,1,1,3,2,4,2,1,3,3,3,3,2,1,2,1,4,4,4,3,4,4,4,4,4,2,4,4,4,4,2,4,4,2,3,3,2,4,2,2,1,3,3,1,1,4,1,4,1,4,3,1,3,4,2,4,4
pid_821,1,1,2,3,2,1,1,4,4,4,4,2,1,4,4,4,4,4,1,1,1,2,1,2,1,2,2,3,2,1,2,2,3,3,2,1,1,2,2,2,1,1,2,2,2,2,2,1,2,1,4,4,4,4,4,4,4,3,3,2,3,3,1,4,2,2,4,2,2,4,3,4,2,2,1,3,3,3,1,4,2,4,1,4,2,1,1,1,1,2,1
pid_1238,1,1,3,2,4,4,1,4,4,4,4,1,1,4,4,2,4,4,1,2,1,3,2,2,3,2,2,2,1,2,3,2,3,4,2,1,2,3,3,2,1,1,3,3,3,2,2,1,2,1,4,4,4,4,4,4,4,4,2,3,4,2,4,4,4,4,4,2,1,4,2,3,2,2,1,3,3,4,1,4,1,4,1,4,3,1,1,1,1,2,2
pid_788,1,1,2,1,1,2,1,4,4,4,4,1,1,2,4,2,2,4,1,3,2,2,2,2,2,2,2,2,1,3,3,4,3,3,2,1,2,4,4,1,1,1,3,3,3,3,3,2,2,3,3,3,3,2,2,3,3,1,1,2,3,2,4,4,4,4,4,1,4,3,1,1,2,2,1,2,4,4,1,4,2,4,1,4,3,2,1,1,2,3,1
pid_1276,1,1,1,2,1,2,2,4,4,4,4,4,1,4,4,4,4,4,1,2,2,3,2,3,2,1,4,3,2,2,2,4,3,3,3,3,3,2,2,3,1,1,3,3,3,2,3,2,3,1,4,4,4,3,4,4,4,4,3,2,3,3,4,4,2,3,4,2,2,4,1,3,4,3,2,3,3,2,1,4,3,4,1,4,2,1,2,2,1,2,2
pid_1711,1,1,1,1,1,1,1,4,4,4,4,3,2,4,4,4,4,4,1,2,2,2,2,2,1,1,2,3,1,3,3,2,3,3,2,1,2,2,2,1,1,2,3,3,3,3,2,2,2,2,4,4,3,2,4,4,3,2,3,2,3,2,4,4,3,4,4,1,1,4,2,4,2,3,1,2,3,2,1,4,1,4,1,4,3,2,1,1,2,1,1
pid_2000,1,1,1,1,1,1,1,4,2,4,2,1,1,4,3,4,4,4,1,2,1,2,2,2,1,1,4,3,4,1,1,2,1,2,2,2,2,1,2,1,2,1,2,2,2,2,3,2,3,1,4,4,4,3,4,4,4,1,1,1,1,1,3,4,1,1,1,1,3,4,4,3,4,3,3,3,3,2,1,2,2,3,1,4,2,1,1,1,1,1,1
pid_575,1,1,1,1,1,1,1,2,1,4,4,1,1,4,4,3,4,4,1,1,1,2,1,2,1,1,4,4,4,1,2,4,2,3,3,3,4,2,1,2,1,1,2,2,2,3,3,1,4,1,4,4,4,4,4,4,4,4,1,1,2,2,1,3,1,1,2,1,4,4,1,4,4,4,2,4,3,2,1,2,4,4,1,4,2,1,1,1,1,2,1
pid_1446,1,1,1,1,1,4,2,4,4,4,4,3,3,4,3,4,4,4,1,2,1,1,1,2,4,2,2,3,1,3,3,2,3,2,3,1,1,3,3,2,1,1,3,3,2,2,2,1,2,2,3,4,4,2,3,3,3,2,2,1,3,1,4,4,4,4,4,1,2,3,3,3,3,2,1,3,4,4,1,4,2,4,1,4,3,2,1,3,2,2,3
pid_622,1,1,1,2,3,3,1,4,4,4,4,1,2,4,4,4,4,4,1,2,2,2,2,2,2,1,2,2,1,1,1,2,3,3,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,1,4,4,4,4,4,4,4,4,4,2,2,2,3,4,1,2,4,2,2,4,3,4,3,2,2,3,3,2,1,4,2,4,1,4,2,1,1,1,1,2,1
pid_345,1,2,2,1,1,1,1,2,1,2,2,1,1,4,3,4,4,4,1,3,2,3,3,3,1,1,4,3,4,1,1,3,3,4,3,3,3,2,2,3,3,1,3,2,3,3,3,1,4,1,4,4,4,4,4,4,4,2,2,1,1,2,1,1,1,1,2,1,4,4,1,3,4,3,3,3,3,2,1,3,4,4,1,4,2,1,2,1,1,3,3
pid_65,1,1,1,1,1,4,1,4,4,4,4,4,4,2,2,2,2,4,1,2,1,2,1,1,4,3,2,3,1,4,3,3,3,4,2,1,1,4,3,1,1,1,3,3,3,2,2,2,1,3,2,3,3,2,2,2,2,1,1,1,2,1,4,4,4,4,4,1,2,4,1,4,3,1,1,2,4,4,1,4,1,4,1,4,4,3,3,2,3,2,2
pid_1121,1,1,1,2,2,4,1,4,4,4,4,1,2,4,4,2,4,4,1,2,1,2,2,2,4,2,2,3,1,3,2,2,3,3,2,1,2,4,3,1,1,1,3,3,2,2,2,2,1,2,4,4,4,3,3,4,3,1,1,1,2,2,4,4,4,4,4,1,2,4,2,4,2,2,1,2,3,4,1,4,2,4,1,4,3,2,1,2,1,2,2
pid_1408,1,3,1,2,1,4,4,4,4,4,4,2,2,4,3,4,4,4,1,3,3,3,2,3,4,2,2,3,1,3,3,2,4,3,2,1,2,3,3,2,2,3,3,3,3,3,2,1,1,3,3,4,4,4,4,4,3,1,4,1,1,1,4,4,1,4,4,1,2,4,1,3,2,3,1,2,4,3,1,4,1,4,1,4,3,2,4,3,3,4,4
pid_1392,1,2,1,2,4,4,2,4,4,4,4,4,2,4,3,4,4,4,1,2,2,3,3,3,4,1,2,3,3,1,2,3,4,3,2,1,2,3,2,3,2,2,3,2,2,2,3,1,3,2,4,4,4,4,4,4,4,4,3,1,1,2,4,4,1,2,2,2,2,4,4,3,3,2,2,4,3,3,1,4,2,4,1,4,2,2,3,3,2,3,4
pid_491,1,1,1,2,1,4,1,4,4,4,4,1,1,4,4,4,4,4,1,2,1,2,2,2,4,2,2,3,1,3,2,2,2,3,2,1,1,3,3,3,1,1,3,3,3,2,2,1,2,1,4,4,4,3,4,4,4,4,3,3,3,3,4,4,4,4,4,1,1,4,2,4,2,2,1,2,3,3,1,4,2,4,1,4,3,2,1,2,1,2,2
pid_1912,1,2,2,2,2,4,1,4,4,4,4,2,4,4,3,2,4,4,1,3,2,4,2,4,4,3,2,3,1,3,3,2,3,4,2,1,2,3,3,1,1,1,3,3,3,3,2,2,1,3,3,3,4,3,4,3,4,1,1,1,2,1,4,4,4,4,4,1,1,4,2,4,2,2,1,2,4,3,1,4,1,4,1,4,3,2,2,2,2,3,3
pid_758,1,1,1,2,1,3,3,4,4,4,4,4,2,2,2,2,4,4,1,3,2,3,2,3,2,2,3,3,2,4,3,4,4,3,3,2,3,4,3,3,2,2,3,3,3,3,3,3,3,3,2,3,2,2,2,3,3,1,2,2,3,2,4,4,2,4,4,1,3,3,2,3,3,3,1,2,4,4,1,4,2,4,1,4,3,2,3,3,3,4,2
pid_1826,1,1,1,2,1,4,1,4,4,4,4,1,1,4,3,4,4,4,1,1,1,1,1,1,4,2,2,3,1,2,2,2,3,2,2,1,1,3,1,2,1,1,2,2,2,2,2,2,2,1,4,4,4,3,4,4,3,2,1,1,2,1,4,4,3,4,4,1,2,4,2,3,3,2,2,3,3,3,1,4,2,4,1,4,2,2,1,1,2,3,1
pid_1572,1,2,1,1,1,3,2,4,4,4,4,4,3,4,2,4,4,4,1,3,2,3,3,3,4,3,2,3,1,3,3,3,3,3,2,1,3,4,3,1,1,1,3,3,3,3,2,2,1,3,4,4,4,2,4,4,2,2,1,1,1,1,4,4,4,4,4,1,2,3,1,4,4,3,1,2,4,4,1,4,1,4,1,4,4,3,3,3,3,2,3
pid_716,1,1,1,2,1,1,1,4,4,4,4,2,1,4,4,4,4,4,1,2,1,2,2,2,4,1,3,3,1,2,2,2,3,2,2,1,2,3,2,3,1,1,3,3,3,3,2,2,2,1,4,4,3,2,4,3,4,3,2,2,4,2,3,4,3,4,4,1,2,4,2,3,3,2,2,3,3,2,1,4,1,4,1,4,3,1,1,1,2,2,1
pid_271,1,1,1,1,1,1,1,4,4,4,4,2,4,4,2,4,4,4,1,1,1,2,1,1,1,2,2,2,1,3,2,2,3,4,2,1,1,3,3,1,1,1,2,3,2,2,1,2,1,3,4,4,4,3,4,4,3,1,1,1,1,1,4,4,4,4,4,1,1,4,1,4,2,1,1,2,3,3,1,4,2,4,1,4,3,2,1,1,1,1,1
pid_1015,1,1,1,1,1,4,1,4,4,4,4,4,2,3,3,2,3,4,1,2,1,2,1,1,4,2,2,4,1,3,3,3,4,3,2,1,2,4,3,1,1,1,3,3,2,2,2,2,1,2,4,4,3,2,4,3,3,1,1,1,2,1,4,4,4,4,4,1,2,4,2,3,3,3,1,2,4,4,1,4,2,4,1,4,4,3,1,1,3,2,1
pid_1868,1,1,1,1,1,1,1,4,2,4,4,4,2,4,3,4,4,4,1,3,3,3,3,3,2,1,4,4,4,1,2,4,4,4,3,3,3,2,1,3,2,2,3,3,3,3,3,2,3,2,3,4,4,3,4,4,4,2,2,1,1,2,4,4,1,1,1,1,4,3,4,2,4,4,3,2,4,2,1,4,4,4,1,4,2,1,2,1,1,4,2
pid_126,1,1,1,2,1,4,1,4,4,4,4,4,1,4,4,4,4,4,1,2,2,2,2,2,4,1,1,3,2,2,2,2,3,4,2,1,1,3,2,1,1,1,2,3,2,3,2,2,2,1,4,4,4,3,4,4,4,4,4,3,4,2,4,4,2,4,4,1,1,4,3,4,2,2,2,3,3,3,1,4,2,4,1,4,3,2,1,2,2,3,2
pid_1342,1,3,2,1,1,4,2,4,4,4,4,2,1,4,4,4,4,4,1,2,1,4,2,2,4,2,2,2,1,2,2,2,3,4,2,1,1,3,2,2,1,2,3,2,3,3,2,2,2,1,4,4,3,2,4,4,4,3,3,2,3,3,4,4,1,4,4,1,1,4,2,3,2,2,1,2,3,3,1,4,1,4,1,4,3,2,3,3,2,3,3
pid_1625,1,1,1,1,1,4,1,4,4,4,4,1,1,4,4,2,4,4,1,1,1,1,1,1,4,2,2,2,1,4,3,1,3,2,2,1,1,4,3,2,1,1,3,3,3,2,1,2,1,1,4,3,3,2,3,3,2,1,1,2,3,1,4,4,4,4,4,1,3,4,2,3,2,1,1,2,4,4,1,4,1,4,1,4,3,2,1,1,2,1,1
pid_441,1,1,2,1,1,2,2,3,2,4,2,4,1,4,3,4,4,4,1,2,2,2,2,3,2,1,4,4,4,1,2,2,2,4,4,4,4,2,3,4,3,1,3,2,3,3,3,1,4,1,3,4,4,2,4,4,4,4,4,2,2,4,4,2,1,1,1,1,4,4,4,3,4,4,1,2,3,1,1,2,4,4,1,4,1,1,1,2,1,2,3
pid_915,2,1,1,1,2,4,4,4,4,4,4,4,3,4,3,4,4,4,1,2,1,1,1,1,4,2,2,4,1,3,3,2,3,3,2,1,2,3,2,1,1,1,3,3,3,2,2,2,1,2,4,4,4,3,4,4,4,1,4,1,2,1,4,4,4,4,4,1,1,4,1,4,3,1,1,2,4,4,1,4,1,4,1,4,3,2,3,3,2,2,2
pid_168,1,2,2,1,1,1,2,2,1,4,4,4,1,4,4,4,4,4,1,1,1,3,3,3,1,1,4,4,4,1,2,3,2,4,3,3,4,1,1,4,4,1,3,2,3,2,3,1,4,1,4,4,4,4,4,4,4,1,2,1,1,1,1,1,1,1,1,1,3,4,4,2,4,4,3,2,2,1,1,2,4,4,1,4,1,1,1,1,1,3,4
pid_1496,1,1,1,2,1,1,1,3,2,4,2,2,1,4,4,4,4,4,1,2,1,2,2,3,1,1,4,4,3,1,2,3,3,4,2,2,2,2,2,2,2,1,3,2,2,2,3,2,2,1,4,4,4,2,4,4,3,4,2,2,3,3,3,3,1,4,4,1,2,4,4,4,3,2,2,4,3,2,1,4,1,4,1,4,3,1,1,1,1,2,1
pid_395,1,1,1,1,1,1,1,3,4,4,2,1,1,4,2,3,4,4,1,1,1,2,3,2,1,1,4,4,4,1,1,2,2,2,3,3,4,2,2,1,1,1,3,2,2,2,3,2,3,1,3,4,4,3,3,3,4,1,1,1,2,1,2,2,1,1,2,1,4,4,1,3,4,3,3,2,2,2,1,1,4,4,1,4,3,1,1,1,1,2,1
pid_259,1,1,1,1,1,3,1,4,4,4,4,3,1,4,4,4,4,4,1,2,1,2,1,2,2,1,2,3,1,1,1,2,3,2,2,1,2,2,2,1,1,1,2,2,2,2,2,1,2,1,4,4,4,4,4,4,4,4,4,2,4,3,4,4,2,4,4,1,2,3,3,3,2,2,2,3,3,3,1,4,2,4,1,4,3,2,1,1,2,1,1
pid_1840,1,1,1,2,1,4,1,4,4,4,4,3,2,4,4,4,4,4,1,2,1,2,2,2,3,2,2,3,1,3,2,2,3,3,2,2,2,3,2,3,1,1,2,2,2,2,2,2,2,1,4,4,4,3,4,4,4,2,1,2,4,2,4,4,3,3,4,2,2,4,2,3,2,2,2,3,3,3,1,4,2,4,1,4,3,2,2,2,2,2,3
pid_217,1,2,1,2,4,4,4,3,1,4,2,4,1,4,4,4,4,4,1,2,1,3,3,3,4,1,4,4,4,1,1,3,2,4,1,3,3,2,2,4,3,2,2,2,2,2,3,2,4,1,4,4,4,4,4,4,4,4,4,3,4,4,4,4,1,1,1,1,3,4,4,4,4,4,2,3,2,2,1,3,3,4,1,4,1,1,1,1,1,3,3
pid_1073,1,1,1,1,1,4,2,4,4,4,4,1,2,4,4,2,4,4,1,1,1,2,1,2,4,2,2,2,1,2,2,2,4,4,2,2,2,3,2,2,1,1,3,2,2,2,2,1,1,1,4,4,4,3,4,4,4,2,2,2,4,2,4,4,3,4,4,1,2,3,1,3,2,1,1,3,4,3,1,4,2,4,1,4,3,2,1,1,1,2,1
pid_897,1,1,1,2,1,4,1,4,2,4,2,4,1,4,4,4,4,4,1,2,2,3,2,3,4,1,3,3,4,1,2,3,3,2,2,2,2,2,1,4,2,2,3,2,3,2,3,2,3,1,4,4,4,4,4,4,4,4,4,2,4,4,4,4,1,4,4,1,3,4,4,3,3,2,3,3,3,2,1,3,1,4,1,4,2,1,2,2,1,2,2
pid_1514,1,2,1,2,1,3,1,4,4,4,4,2,1,4,4,4,4,4,1,2,1,2,3,3,2,1,3,3,3,1,1,3,3,3,2,2,3,2,2,4,2,1,3,2,3,2,3,1,3,1,4,4,4,4,4,4,4,4,3,2,2,3,4,4,1,2,2,2,2,4,2,4,3,2,3,4,3,2,1,4,3,4,1,4,2,1,1,2,1,1,3
pid_770,1,1,2,1,1,2,1,4,1,4,2,3,2,4,2,3,4,4,1,1,1,2,2,3,1,1,4,4,4,1,1,3,1,4,3,4,3,2,2,4,2,1,3,2,2,2,3,2,4,3,2,4,4,3,3,4,3,1,1,1,1,1,1,3,1,1,1,2,4,4,1,2,4,4,3,2,2,1,1,1,4,2,1,4,2,1,1,1,1,3,2
pid_1643,1,2,1,3,4,3,2,2,2,4,2,1,2,4,3,4,4,4,1,2,1,2,2,3,2,1,4,4,4,1,2,4,2,4,3,3,3,2,2,4,2,1,3,2,2,2,3,2,3,1,4,4,4,4,4,4,4,3,2,1,1,1,3,4,1,2,2,2,3,4,4,3,4,3,3,2,2,2,1,2,4,4,1,4,1,1,1,2,1,3,3
pid_427,1,2,1,1,1,4,4,4,4,4,4,3,1,4,4,4,4,4,1,2,2,3,2,2,4,2,2,3,2,4,3,3,4,3,3,1,2,3,3,1,2,2,3,3,3,2,3,2,1,1,4,4,2,2,4,4,4,4,4,2,4,2,4,4,4,4,4,1,3,3,1,3,3,3,1,2,3,3,1,4,1,4,1,4,3,2,3,3,3,3,2
pid_140,1,1,1,1,1,1,1,4,2,4,4,1,1,4,4,4,4,4,1,2,1,2,2,2,1,1,4,3,3,1,1,2,2,2,2,1,1,1,2,1,2,1,2,2,2,2,3,1,3,1,4,4,4,4,4,4,4,4,4,1,2,2,2,4,1,1,3,1,1,4,4,4,4,3,2,4,2,2,1,4,2,4,1,4,2,1,1,1,1,2,1
pid_1324,1,1,1,1,1,4,2,4,4,4,4,4,1,4,4,4,4,4,1,2,1,2,1,2,3,2,2,4,1,2,2,2,3,4,2,1,2,3,2,1,1,1,3,3,2,2,2,2,2,1,4,4,4,3,4,4,4,4,2,2,4,2,4,4,3,4,4,1,2,4,2,3,2,1,1,3,3,4,1,4,2,4,1,4,3,2,2,2,2,2,2
pid_469,1,1,1,1,1,1,1,4,4,4,4,3,1,4,4,4,4,4,1,1,1,2,2,2,1,1,4,4,3,2,2,3,2,4,2,2,3,2,2,1,1,1,3,2,2,2,3,2,3,1,4,4,4,3,4,4,3,4,2,1,2,2,3,4,2,2,4,1,3,4,4,4,4,3,2,3,2,3,1,4,4,4,1,4,2,1,1,1,1,2,1
pid_1197,1,1,1,1,2,1,1,2,2,4,3,1,1,4,4,4,4,4,1,1,1,1,2,2,1,1,4,3,4,1,1,3,2,3,3,3,3,1,1,3,1,1,2,2,2,2,3,1,3,1,4,4,4,4,4,4,4,2,2,1,2,1,1,3,1,1,2,1,3,4,4,3,4,3,4,4,1,2,1,4,4,4,1,4,1,1,1,1,1,2,1
pid_973,1,1,2,1,1,2,1,4,4,4,4,4,1,4,4,4,4,4,1,2,2,2,2,2,2,2,2,4,2,3,2,3,3,2,2,1,2,3,2,1,1,1,3,3,3,2,2,1,2,1,4,4,2,2,4,4,4,3,1,1,4,2,4,4,4,4,4,1,2,4,2,3,3,2,1,2,3,3,1,4,1,4,1,4,3,1,1,2,2,3,2
pid_694,1,1,1,1,1,4,2,4,4,4,4,1,1,4,4,4,4,4,1,1,1,1,1,1,4,2,2,4,1,2,2,2,2,2,1,1,1,3,2,1,1,1,3,3,2,2,2,1,1,1,4,4,4,3,4,4,4,2,4,2,4,2,4,4,4,4,4,1,2,4,3,4,2,1,1,3,3,3,1,4,3,4,1,4,3,2,1,1,2,2,1
pid_2028,1,1,1,1,1,1,1,4,4,4,4,2,1,4,4,4,4,4,1,2,1,2,2,2,1,1,2,2,1,2,2,2,3,3,2,1,1,3,2,2,1,1,3,3,2,2,2,1,2,1,4,4,4,3,4,4,4,4,4,3,4,2,4,4,3,4,4,1,1,4,3,4,2,2,1,3,3,3,1,4,1,4,1,4,3,2,1,1,1,2,1
pid_1739,2,3,1,1,1,4,2,4,4,4,4,4,4,4,2,4,4,4,2,3,3,3,2,2,4,2,2,4,1,3,3,2,3,3,2,1,2,4,3,2,2,1,3,3,3,3,2,2,1,3,2,3,2,2,2,2,2,1,1,1,1,1,4,4,4,4,4,1,2,4,1,3,2,2,1,1,4,4,1,4,1,4,1,4,3,3,4,4,3,3,4
pid_847,2,1,1,1,1,4,4,4,4,4,4,4,1,4,4,4,4,4,1,2,1,2,2,2,4,2,2,4,1,3,3,2,2,3,2,1,1,3,2,1,1,1,3,3,3,3,2,1,1,1,4,4,4,3,4,4,4,4,4,2,4,2,4,4,1,4,4,1,2,4,2,4,3,2,1,3,4,3,1,4,1,4,1,4,3,2,1,2,2,4,1
pid_289,1,4,1,3,1,4,3,4,3,4,3,2,3,4,3,4,4,4,1,3,3,4,3,4,4,2,2,3,2,2,3,3,3,4,3,2,3,3,2,4,3,2,3,3,3,3,3,3,3,3,3,4,4,3,4,3,4,1,1,2,2,1,4,4,2,1,4,3,2,3,2,2,3,2,1,3,3,3,1,4,3,4,1,4,3,2,3,4,3,4,4
pid_1777,1,2,2,2,1,4,1,4,4,4,4,1,1,2,3,2,2,4,1,1,2,2,1,2,4,2,2,3,1,3,2,2,3,2,2,1,2,3,3,2,1,1,3,3,2,2,2,2,2,2,3,3,3,3,3,4,4,1,1,1,2,1,4,4,3,4,4,2,2,4,2,4,2,2,1,2,4,4,1,4,3,4,1,4,3,2,1,2,2,3,1
pid_513,1,1,1,1,1,4,1,4,4,4,4,1,2,4,3,4,4,4,1,2,2,2,1,1,4,2,2,3,1,4,3,2,3,2,2,1,1,3,3,1,1,1,3,3,3,3,2,2,1,3,3,4,2,2,3,4,3,1,1,1,1,1,4,4,4,4,4,1,2,4,1,3,2,3,1,2,4,4,1,4,1,4,1,4,4,2,1,1,2,1,1
pid_1890,1,2,3,1,1,2,1,2,1,2,2,2,2,4,4,4,4,4,1,2,2,3,3,3,1,1,4,4,4,1,2,4,2,3,4,3,3,2,2,4,3,2,3,2,3,3,3,1,4,1,4,4,4,4,4,4,4,2,1,2,2,2,2,2,1,1,2,1,3,4,4,3,4,4,3,2,2,1,1,2,4,4,1,4,2,1,2,1,1,4,2
pid_809,1,1,1,2,2,3,1,4,4,4,4,4,3,4,3,4,4,4,1,2,1,2,1,2,3,2,2,3,2,3,2,3,3,3,2,1,2,3,2,1,1,1,2,2,2,2,2,2,1,1,4,4,4,4,4,4,4,2,2,1,2,2,4,4,2,4,4,2,2,4,3,4,3,2,2,2,3,3,1,4,1,4,1,4,3,2,2,2,2,2,2
pid_1210,1,1,2,2,4,1,1,2,1,4,1,1,1,4,4,4,4,4,1,1,1,1,3,3,1,1,4,3,4,1,1,3,2,3,2,2,2,2,1,4,1,1,2,2,2,2,3,2,3,1,4,4,4,4,4,4,4,4,2,1,1,1,2,4,1,1,1,2,3,4,4,3,4,3,3,3,2,1,1,2,4,4,1,3,1,1,1,1,1,2,2
pid_323,1,1,1,1,4,4,1,4,4,4,4,1,1,4,4,4,4,4,1,2,1,2,2,2,4,2,2,2,1,3,3,2,3,3,2,1,1,4,2,3,1,1,3,3,2,2,2,2,2,1,4,3,2,2,4,3,4,4,1,2,3,2,4,4,2,4,4,2,2,4,2,4,2,2,1,2,3,4,1,4,1,4,1,4,3,2,1,1,2,2,1
pid_1147,1,2,1,1,1,4,3,4,4,4,4,2,4,4,2,4,4,4,2,3,2,2,2,2,4,2,3,4,2,3,3,3,4,4,3,1,2,4,3,1,2,2,3,3,3,3,3,2,2,3,4,4,4,2,4,4,2,1,2,1,1,1,4,4,3,4,4,1,2,4,2,4,3,2,1,3,4,3,1,4,1,4,1,4,3,3,4,3,3,4,2
